birthpl,birthpl_susenas,birthpl_hsiao
6203,6210,6203
6203,6211,6203
6204,6212,6204
6205,6213,6205
6271,6271,6271
6301,6301,6301
6302,6302,6302
6303,6303,6303
6304,6304,6304
6305,6305,6305
6306,6306,6306
6307,6307,6307
6308,6308,6308
6309,6309,6309
6302,6310,6302
6308,6311,6308
,6319,
6371,6371,6371
6303,6372,6303
6401,6401,6401
6402,6402,6402
6402,6403,6402
6402,6404,6402
6403,6405,6403
6404,6406,6404
6404,6407,6404
6404,6408,6404
6401,6409,6401
6404,6410,6404
6402,6411,6402
,6428,
6471,6471,6471
6472,6472,6472
6404,6473,6404
6402,6474,6402
6404,6501,6404
6404,6502,6404
6404,6503,6404
6404,6504,6404
6404,6571,6404
7102,7101,7102
7103,7102,7103
7104,7103,7104
7104,7104,7104
7103,7105,7103
7103,7106,7103
7102,7107,7102
7104,7108,7104
7103,7109,7103
7102,7110,7102
7102,7111,7102
,7118,
7172,7171,7172
7103,7172,7103
7103,7173,7103
7102,7174,7102
7201,7201,7201
7201,7202,7201
7202,7203,7202
7202,7204,7202
7203,7205,7203
7204,7206,7204
7204,7207,7204
7203,7208,7203
7202,7209,7202
7203,7210,7203
,7213,
,7218,
7203,7271,7203
,7272,
7301,7301,7301
7302,7302,7302
7303,7303,7303
7304,7304,7304
7305,7305,7305
7306,7306,7306
7307,7307,7307
7308,7308,7308
7309,7309,7309
7310,7310,7310
7311,7311,7311
7312,7312,7312
7313,7313,7313
7314,7314,7314
7315,7315,7315
7316,7316,7316
7317,7317,7317
7318,7318,7318
7317,7322,7317
7317,7325,7317
7318,7326,7318
7371,7371,7371
7372,7372,7372
7317,7373,7317
7401,7401,7401
7402,7402,7402
7403,7403,7403
7404,7404,7404
7403,7405,7403
7401,7406,7401
7401,7407,7401
7404,7408,7404
7402,7409,7402
7403,7410,7403
7404,7411,7404
,7426,
7403,7471,7403
7401,7472,7401
7101,7501,7101
7101,7502,7101
7101,7503,7101
7101,7504,7101
